Logging to savedate/CartPole-v0dqn20010714/
episode_Q_value:14.7    	episode_loss:9.6     	episode_reward:49      	episodes:45	mean 100 episode reward:22.6    	step_used:49	steps:1042	
episode_Q_value:14.4    	episode_loss:0.227   	episode_reward:16      	episodes:46	mean 100 episode reward:23.2    	step_used:16	steps:1058	
episode_Q_value:14.5    	episode_loss:0.131   	episode_reward:15      	episodes:47	mean 100 episode reward:23      	step_used:15	steps:1073	
episode_Q_value:21.2    	episode_loss:0.0922  	episode_reward:23      	episodes:48	mean 100 episode reward:22.8    	step_used:23	steps:1096	
episode_Q_value:11.7    	episode_loss:0.091   	episode_reward:14      	episodes:49	mean 100 episode reward:22.8    	step_used:14	steps:1110	
episode_Q_value:75.6    	episode_loss:0.42    	episode_reward:81      	episodes:50	mean 100 episode reward:22.7    	step_used:81	steps:1191	
episode_Q_value:22.2    	episode_loss:0.112   	episode_reward:25      	episodes:51	mean 100 episode reward:23.8    	step_used:25	steps:1216	
episode_Q_value:11.6    	episode_loss:0.0634  	episode_reward:13      	episodes:52	mean 100 episode reward:23.8    	step_used:13	steps:1229	
episode_Q_value:8.42    	episode_loss:0.0243  	episode_reward:10      	episodes:53	mean 100 episode reward:23.6    	step_used:10	steps:1239	
episode_Q_value:18.1    	episode_loss:0.0923  	episode_reward:20      	episodes:54	mean 100 episode reward:23.4    	step_used:20	steps:1259	
episode_Q_value:14.6    	episode_loss:0.0872  	episode_reward:15      	episodes:55	mean 100 episode reward:23.3    	step_used:15	steps:1274	
episode_Q_value:24.2    	episode_loss:0.112   	episode_reward:27      	episodes:56	mean 100 episode reward:23.2    	step_used:27	steps:1301	
episode_Q_value:14.7    	episode_loss:0.0778  	episode_reward:16      	episodes:57	mean 100 episode reward:23.2    	step_used:16	steps:1317	
episode_Q_value:12.6    	episode_loss:0.0354  	episode_reward:15      	episodes:58	mean 100 episode reward:23.1    	step_used:15	steps:1332	
episode_Q_value:18.6    	episode_loss:0.115   	episode_reward:20      	episodes:59	mean 100 episode reward:23      	step_used:20	steps:1352	
episode_Q_value:14.1    	episode_loss:0.0617  	episode_reward:15      	episodes:60	mean 100 episode reward:22.9    	step_used:15	steps:1367	
episode_Q_value:29.1    	episode_loss:0.141   	episode_reward:32      	episodes:61	mean 100 episode reward:22.8    	step_used:32	steps:1399	
episode_Q_value:9.77    	episode_loss:0.0471  	episode_reward:11      	episodes:62	mean 100 episode reward:22.9    	step_used:11	steps:1410	
episode_Q_value:13.2    	episode_loss:0.057   	episode_reward:15      	episodes:63	mean 100 episode reward:22.7    	step_used:15	steps:1425	
episode_Q_value:14      	episode_loss:0.0712  	episode_reward:15      	episodes:64	mean 100 episode reward:22.6    	step_used:15	steps:1440	
