Logging to savedate/CartPole-v0dqn2001071457/
episode_Q_value:1.07    	episode_loss:6.96    	episode_reward:33      	episodes:35	mean 100 episode reward:28.9    	step_used:33	steps:1014	
episode_Q_value:3.7     	episode_loss:11.1    	episode_reward:27      	episodes:36	mean 100 episode reward:29      	step_used:27	steps:1041	
episode_Q_value:7.13    	episode_loss:8       	episode_reward:26      	episodes:37	mean 100 episode reward:28.9    	step_used:26	steps:1067	
episode_Q_value:8.4     	episode_loss:5.92    	episode_reward:27      	episodes:38	mean 100 episode reward:28.8    	step_used:27	steps:1094	
episode_Q_value:27.3    	episode_loss:5.78    	episode_reward:50      	episodes:39	mean 100 episode reward:28.8    	step_used:50	steps:1144	
episode_Q_value:13.5    	episode_loss:0.985   	episode_reward:18      	episodes:40	mean 100 episode reward:29.3    	step_used:18	steps:1162	
episode_Q_value:29.9    	episode_loss:0.945   	episode_reward:37      	episodes:41	mean 100 episode reward:29      	step_used:37	steps:1199	
episode_Q_value:15.8    	episode_loss:0.256   	episode_reward:20      	episodes:42	mean 100 episode reward:29.2    	step_used:20	steps:1219	
episode_Q_value:10.5    	episode_loss:0.0913  	episode_reward:13      	episodes:43	mean 100 episode reward:29      	step_used:13	steps:1232	
episode_Q_value:10.6    	episode_loss:0.0603  	episode_reward:11      	episodes:44	mean 100 episode reward:28.7    	step_used:11	steps:1243	
episode_Q_value:66      	episode_loss:0.227   	episode_reward:66      	episodes:45	mean 100 episode reward:28.2    	step_used:66	steps:1309	
episode_Q_value:18.9    	episode_loss:0.057   	episode_reward:19      	episodes:46	mean 100 episode reward:29.1    	step_used:19	steps:1328	
episode_Q_value:14.3    	episode_loss:0.0313  	episode_reward:14      	episodes:47	mean 100 episode reward:28.9    	step_used:14	steps:1342	
episode_Q_value:11.1    	episode_loss:0.0239  	episode_reward:11      	episodes:48	mean 100 episode reward:28.6    	step_used:11	steps:1353	
episode_Q_value:22.7    	episode_loss:0.0414  	episode_reward:22      	episodes:49	mean 100 episode reward:28.2    	step_used:22	steps:1375	
episode_Q_value:29.8    	episode_loss:0.0684  	episode_reward:29      	episodes:50	mean 100 episode reward:28.1    	step_used:29	steps:1404	
episode_Q_value:14.5    	episode_loss:0.0373  	episode_reward:15      	episodes:51	mean 100 episode reward:28.1    	step_used:15	steps:1419	
episode_Q_value:25.8    	episode_loss:0.0501  	episode_reward:25      	episodes:52	mean 100 episode reward:27.8    	step_used:25	steps:1444	
episode_Q_value:24.8    	episode_loss:0.0437  	episode_reward:24      	episodes:53	mean 100 episode reward:27.8    	step_used:24	steps:1468	
episode_Q_value:14      	episode_loss:0.0211  	episode_reward:15      	episodes:54	mean 100 episode reward:27.7    	step_used:15	steps:1483	
episode_Q_value:6.99    	episode_loss:0.0164  	episode_reward:8       	episodes:55	mean 100 episode reward:27.5    	step_used:8	steps:1491	
episode_Q_value:20.6    	episode_loss:0.0448  	episode_reward:20      	episodes:56	mean 100 episode reward:27.1    	step_used:20	steps:1511	
episode_Q_value:21.6    	episode_loss:0.0409  	episode_reward:21      	episodes:57	mean 100 episode reward:27      	step_used:21	steps:1532	
episode_Q_value:18.6    	episode_loss:0.0395  	episode_reward:20      	episodes:58	mean 100 episode reward:26.9    	step_used:20	steps:1552	
episode_Q_value:18.6    	episode_loss:0.0411  	episode_reward:19      	episodes:59	mean 100 episode reward:26.8    	step_used:19	steps:1571	
episode_Q_value:37.1    	episode_loss:0.067   	episode_reward:38      	episodes:60	mean 100 episode reward:26.6    	step_used:38	steps:1609	
episode_Q_value:12.1    	episode_loss:0.0243  	episode_reward:13      	episodes:61	mean 100 episode reward:26.8    	step_used:13	steps:1622	
episode_Q_value:24.3    	episode_loss:0.0458  	episode_reward:24      	episodes:62	mean 100 episode reward:26.6    	step_used:24	steps:1646	
episode_Q_value:9.48    	episode_loss:0.0217  	episode_reward:11      	episodes:63	mean 100 episode reward:26.5    	step_used:11	steps:1657	
episode_Q_value:11.2    	episode_loss:0.0244  	episode_reward:12      	episodes:64	mean 100 episode reward:26.3    	step_used:12	steps:1669	
episode_Q_value:11.7    	episode_loss:0.0219  	episode_reward:12      	episodes:65	mean 100 episode reward:26.1    	step_used:12	steps:1681	
episode_Q_value:70      	episode_loss:0.125   	episode_reward:69      	episodes:66	mean 100 episode reward:25.9    	step_used:69	steps:1750	
episode_Q_value:10.3    	episode_loss:0.0162  	episode_reward:11      	episodes:67	mean 100 episode reward:26.5    	step_used:11	steps:1761	
episode_Q_value:44.9    	episode_loss:0.0698  	episode_reward:45      	episodes:68	mean 100 episode reward:26.3    	step_used:45	steps:1806	
episode_Q_value:10.3    	episode_loss:0.0124  	episode_reward:11      	episodes:69	mean 100 episode reward:26.6    	step_used:11	steps:1817	
episode_Q_value:8.24    	episode_loss:0.00913 	episode_reward:9       	episodes:70	mean 100 episode reward:26.3    	step_used:9	steps:1826	
episode_Q_value:8.14    	episode_loss:0.0179  	episode_reward:9       	episodes:71	mean 100 episode reward:26.1    	step_used:9	steps:1835	
episode_Q_value:9.64    	episode_loss:0.0189  	episode_reward:10      	episodes:72	mean 100 episode reward:25.8    	step_used:10	steps:1845	
episode_Q_value:23.3    	episode_loss:0.0395  	episode_reward:23      	episodes:73	mean 100 episode reward:25.6    	step_used:23	steps:1868	
